priority,candidate_id,dataset,row_index,ideal_class,row_sha256,current_selected,reserve_role,current_oracle_policy_covered,construct_approved
1,bipia-email-011,email,11,unknown_sentinel,0071fefb32c453524588954f48650746db07899b11c0078c9e064c24511ccd06,True,current_frame,True,False
2,bipia-email-032,email,32,unknown_sentinel,109a0f752cc1c6f3c12cec45f76a7b00d441b53996dc171266920c4ec3e58329,True,current_frame,True,False
3,bipia-email-033,email,33,unknown_sentinel,1d9078c2acaac4fa3943222377991ef42ee8459c757b0f1e684adbafd128cd13,True,current_frame,True,False
4,bipia-email-035,email,35,unknown_sentinel,22c1528428589339d601165c883d8f05e8765c2680098d069e47983e171a2429,True,current_frame,True,False
5,bipia-email-041,email,41,unknown_sentinel,350a3f7111994c3894feb02217346a2e3ae181d3bfef31118e2a047d093f3d94,True,current_frame,True,False
6,bipia-email-026,email,26,unknown_sentinel,396bda0ad6bf18d8b79f2eb00089ed3699d220c4898ec3ca91971c41cfe646b1,True,current_frame,True,False
7,bipia-email-046,email,46,unknown_sentinel,3a8e07890db95731d0485f32ea817cd0efee1a28a1707f59a3035b959c575ff1,True,current_frame,True,False
8,bipia-email-043,email,43,unknown_sentinel,519de6c3f61dd0c2ac0d1706328999c33728ec8c931b77f5350af6c72edd61a3,True,current_frame,True,False
9,bipia-email-008,email,8,unknown_sentinel,5c6f51c0d50df869b4f8df7c73ec09801d40aba56a6784f47ca0c1b67d6f0fb3,True,current_frame,True,False
10,bipia-email-001,email,1,unknown_sentinel,6f8246610038400328c8c171840bbd5b4e7b98e6c3045625356019f6b1c2b80f,True,current_frame,True,False
11,bipia-email-020,email,20,unknown_sentinel,7118b7d9ac389139e92aaf5286d9d11fcc519ef9d61db5e3b6f7c4de683caa10,True,current_frame,True,False
12,bipia-email-019,email,19,unknown_sentinel,7eff6e102310e696db0ac1a035810d4b200ae46ca9277657c3148b48ef47665a,True,current_frame,True,False
